group;subject_id;device_num;mBAN_left;mBAN_right
1;25;#001;886B0FABF87D;588E81A248D5
1;26;#002;886B0FABF7D3;588E81A249EA
1;27;#003;886B0FABF7B1;588E81A24A2B
1;28;#004;886B0FABF703;588E81A249C7
1;29;#005;886B0FABF7B8;886B0FABF7DB
1;30;#006;886B0FABF754;886B0FABF870
1;31;#007;588E81A24A57;886B0FABF89E
1;32;#008;588E81A249B2;588E81A24887
1;33;#009;886B0FABF8C9;886B0FABF797
1;34;#010;588E81A248FD;886B0FABF921
2;38;#001;886B0FABF87D;588E81A248D5
2;39;#002;886B0FABF7D3;588E81A24A0D
2;40;#003;886B0FABF7B1;588E81A24A2B
2;41;#004;886B0FABF703;588E81A249C7
2;42;#005;84FD27E504C3;886B0FABF7DB
2;43;#006;886B0FABF754;886B0FABF870
2;44;#007;588E81A24A57;886B0FABF89E
2;45;#008;588E81A249B2;588E81A24887
2;46;#009;886B0FABF8C9;886B0FABF797
2;47;#010;588E81A248DE;886B0FABF921
3;48;#001;886B0FABF87D;588E81A248D5
3;49;#002;886B0FABF7D3;588E81A24A0D
3;50;#003;886B0FABF7B1;588E81A24A2B
3;51;#004;886B0FABF703;588E81A249C7
3;52;#005;84FD27E504C3;886B0FABF7DB
3;53;#006;886B0FABF754;886B0FABF870
3;54;#007;588E81A24A57;886B0FABF89E
3;55;#008;588E81A249B2;588E81A24887
3;56;#009;886B0FABF8C9;886B0FABF797
3;57;#010;588E81A24A5D;886B0FABF921
4;58;#001;886B0FABF87D;588E81A248D5
4;59;#002;886B0FABF7D3;588E81A24A0D
4;60;#003;886B0FABF7B1;588E81A24A2B
4;61;#004;886B0FABF703;588E81A249C7
4;62;#005;84FD27E504C3;886B0FABF7DB
4;63;#006;886B0FABF754;886B0FABF870
4;64;#007;588E81A24A57;886B0FABF89E
4;65;#008;588E81A249B2;588E81A24887
4;66;#011;886B0FABF8C9;886B0FABF797
4;67;#010;588E81A24A5D;886B0FABF921
